Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
68*,193,144,6,0,47.22,5,not out,4,v Australia,Adelaide,3-Feb-89
5,62,34,1,0,14.7,5,bowled,1,v India,Georgetown,25-Mar-89
1,2,5,0,0,20,5,caught,2,v India,Bridgetown,7-Apr-89
DNB,-,-,-,-,-,-,-,4,v India,Bridgetown,7-Apr-89
19,44,31,3,0,61.29,5,bowled,1,v India,Port of Spain,15-Apr-89
0,7,6,0,0,0,5,caught,3,v India,Port of Spain,15-Apr-89
110,305,178,13,1,61.79,5,caught,2,v India,Kingston,28-Apr-89
DNB,-,-,-,-,-,-,-,4,v India,Kingston,28-Apr-89
21,55,31,5,0,67.74,6,lbw,1,v England,Kingston,24-Feb-90
37,100,52,5,0,71.15,6,bowled,3,v England,Kingston,24-Feb-90
70,151,110,7,2,63.63,5,caught,1,v England,Bridgetown,5-Apr-90
12,40,23,1,0,52.17,4,caught,3,v England,Bridgetown,5-Apr-90
1,2,2,0,0,50,5,caught,2,v England,St John's,12-Apr-90
11,25,21,2,0,52.38,5,caught,1,v Australia,Kingston,1-Mar-91
52*,183,147,5,2,35.37,5,not out,3,v Australia,Kingston,1-Mar-91
50,119,70,4,3,71.42,5,bowled,2,v Australia,Georgetown,23-Mar-91
DNB,-,-,-,-,-,-,-,4,v Australia,Georgetown,23-Mar-91
2,8,6,0,0,33.33,6,caught,2,v Australia,Port of Spain,5-Apr-91
32,93,64,6,0,50,5,caught,1,v Australia,Bridgetown,19-Apr-91
25,45,21,4,0,119.04,6,lbw,3,v Australia,Bridgetown,19-Apr-91
0,16,7,0,0,0,5,lbw,2,v Australia,St John's,27-Apr-91
2,10,8,0,0,25,5,caught,4,v Australia,St John's,27-Apr-91
73,129,98,7,2,74.48,5,caught,2,v England,Leeds,6-Jun-91
3,9,8,0,0,37.5,5,caught,4,v England,Leeds,6-Jun-91
63,113,89,7,1,70.78,5,lbw,1,v England,Lord's,20-Jun-91
DNB,-,-,-,-,-,-,-,3,v England,Lord's,20-Jun-91
80,209,155,8,2,51.61,5,bowled,2,v England,Nottingham,4-Jul-91
DNB,-,-,-,-,-,-,-,4,v England,Nottingham,4-Jul-91
22,43,26,4,0,84.61,5,caught,2,v England,Birmingham,25-Jul-91
73*,134,97,9,1,75.25,5,not out,4,v England,Birmingham,25-Jul-91
2,17,7,0,0,28.57,8,caught,2,v England,The Oval,8-Aug-91
60,164,105,9,0,57.14,6,caught,3,v England,The Oval,8-Aug-91
