Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
166*,551,416,16,0,39.9,1,not out,2,v Australia,Adelaide,13-Dec-85
6,17,5,0,0,120,1,bowled,2,v Australia,Melbourne,26-Dec-85
8,68,54,0,0,14.81,1,bowled,4,v Australia,Melbourne,26-Dec-85
172,513,400,19,0,43,1,bowled,1,v Australia,Sydney,2-Jan-86
34,198,133,2,0,25.56,1,caught,2,v England,Lord's,5-Jun-86
22,63,58,4,0,37.93,1,caught,4,v England,Lord's,5-Jun-86
35,96,71,4,0,49.29,1,caught,1,v England,Leeds,19-Jun-86
1,22,19,0,0,5.26,1,caught,3,v England,Leeds,19-Jun-86
29,57,36,6,0,80.55,1,bowled,2,v England,Birmingham,3-Jul-86
54,159,135,6,0,40,1,caught,4,v England,Birmingham,3-Jul-86
8,59,21,0,0,38.09,1,caught,2,v Australia,Chennai,18-Sep-86
90,253,168,12,1,53.57,1,caught,4,v Australia,Chennai,18-Sep-86
4,8,4,0,0,100,1,bowled,2,v Australia,Delhi,26-Sep-86
103,302,203,11,0,50.73,1,caught,2,v Australia,Mumbai,15-Oct-86
176,506,302,22,0,58.27,1,caught,2,v Sri Lanka,Kanpur,17-Dec-86
74,-,79,-,3,93.67,5,caught,2,v Sri Lanka,Nagpur,27-Dec-86
5,-,-,-,0,-,1,lbw,1,v Sri Lanka,Cuttack,4-Jan-87
91,-,-,-,1,-,1,caught,2,v Pakistan,Chennai,3-Feb-87
0,1,1,0,0,0,1,caught,1,v Pakistan,Jaipur,21-Feb-87
24,-,-,-,0,-,1,caught,3,v Pakistan,Jaipur,21-Feb-87
63,242,170,6,0,37.05,1,lbw,2,v Pakistan,Ahmedabad,4-Mar-87
21,91,73,2,0,28.76,1,bowled,2,v Pakistan,Bangalore,13-Mar-87
96,320,264,8,0,36.36,1,caught,4,v Pakistan,Bangalore,13-Mar-87
