Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
97,233,170,12,0,57.05,6,bowled,3,v England,The Oval,7-Aug-08
3,17,15,0,0,20,6,caught,1,v Bangladesh,Bloemfontein,19-Nov-08
0,2,2,0,0,0,6,stumped,2,v Bangladesh,Centurion,26-Nov-08
63,144,130,7,1,48.46,5,caught,2,v Australia,Perth,17-Dec-08
106*,276,186,9,0,56.98,5,not out,4,v Australia,Perth,17-Dec-08
7,57,51,0,0,13.72,5,bowled,2,v Australia,Melbourne,26-Dec-08
DNB,-,-,-,-,-,-,-,4,v Australia,Melbourne,26-Dec-08
11,60,52,1,0,21.15,5,run out,2,v Australia,Sydney,3-Jan-09
56,175,144,8,0,38.88,5,bowled,4,v Australia,Sydney,3-Jan-09
104*,285,185,9,1,56.21,5,not out,2,v Australia,Johannesburg,26-Feb-09
3,16,7,0,0,42.85,5,lbw,4,v Australia,Johannesburg,26-Feb-09
3,13,8,0,0,37.5,5,lbw,2,v Australia,Durban,6-Mar-09
84,234,199,9,0,42.21,4,caught,4,v Australia,Durban,6-Mar-09
163,313,196,12,7,83.16,5,caught,2,v Australia,Cape Town,19-Mar-09
32,82,66,5,0,48.48,5,caught,1,v England,Centurion,16-Dec-09
64,136,101,6,1,63.36,6,caught,3,v England,Centurion,16-Dec-09
50,149,98,6,0,51.02,5,caught,1,v England,Durban,26-Dec-09
2,18,15,0,0,13.33,5,lbw,3,v England,Durban,26-Dec-09
36,84,60,4,0,60,5,caught,1,v England,Cape Town,3-Jan-10
34,84,49,3,0,69.38,5,caught,3,v England,Cape Town,3-Jan-10
58,165,119,5,0,48.73,5,caught,2,v England,Johannesburg,14-Jan-10
53,104,88,5,0,60.22,5,caught,1,v India,Nagpur,6-Feb-10
12,59,37,2,0,32.43,5,run out,1,v India,Kolkata,14-Feb-10
3,26,16,0,0,18.75,6,lbw,3,v India,Kolkata,14-Feb-10
68,-,145,5,0,46.89,6,caught,1,v West Indies,Port of Spain,10-Jun-10
19*,-,43,1,0,44.18,5,not out,3,v West Indies,Port of Spain,10-Jun-10
135*,-,168,13,6,80.35,5,not out,1,v West Indies,Basseterre,18-Jun-10
31*,-,130,2,0,23.84,5,not out,3,v West Indies,Basseterre,18-Jun-10
73,-,189,6,0,38.62,6,caught,2,v West Indies,Bridgetown,26-Jun-10
4*,-,1,1,0,400,5,not out,4,v West Indies,Bridgetown,26-Jun-10
5,21,19,0,0,26.31,6,bowled,1,v Pakistan,Dubai (DSC),12-Nov-10
DNB,-,-,-,-,-,-,-,3,v Pakistan,Dubai (DSC),12-Nov-10
278*,601,418,23,6,66.5,5,not out,1,v Pakistan,Abu Dhabi,20-Nov-10
25,36,29,1,0,86.2,3,lbw,3,v Pakistan,Abu Dhabi,20-Nov-10
129,149,112,12,5,115.17,5,caught,2,v India,Centurion,16-Dec-10
0,7,5,0,0,0,5,caught,2,v India,Durban,26-Dec-10
33,103,76,0,1,43.42,5,lbw,4,v India,Durban,26-Dec-10
26,95,72,3,0,36.11,5,caught,1,v India,Cape Town,2-Jan-11
13,63,58,1,0,22.41,6,bowled,3,v India,Cape Town,2-Jan-11
8,25,9,2,0,88.88,5,lbw,2,v Australia,Cape Town,9-Nov-11
DNB,-,-,-,-,-,-,-,4,v Australia,Cape Town,9-Nov-11
64,137,97,11,0,65.97,5,caught,1,v Australia,Johannesburg,17-Nov-11
73,197,136,10,1,53.67,5,caught,3,v Australia,Johannesburg,17-Nov-11
99,228,135,12,0,73.33,6,caught,2,v Sri Lanka,Centurion,15-Dec-11
25,103,79,3,0,31.64,5,caught,2,v Sri Lanka,Durban,26-Dec-11
69,204,141,6,1,48.93,6,lbw,4,v Sri Lanka,Durban,26-Dec-11
160*,303,205,19,2,78.04,5,not out,1,v Sri Lanka,Cape Town,3-Jan-12
DNB,-,-,-,-,-,-,-,4,v Sri Lanka,Cape Town,3-Jan-12
0,4,1,0,0,0,5,lbw,1,v New Zealand,Dunedin,7-Mar-12
29,81,55,3,0,52.72,6,caught,3,v New Zealand,Dunedin,7-Mar-12
83,187,133,10,0,62.4,6,bowled,2,v New Zealand,Hamilton,15-Mar-12
DNB,-,-,-,-,-,-,-,4,v New Zealand,Hamilton,15-Mar-12
38,103,69,3,0,55.07,5,bowled,1,v New Zealand,Wellington,23-Mar-12
68,65,49,8,1,138.77,3,caught,3,v New Zealand,Wellington,23-Mar-12
DNB,-,-,-,-,-,-,-,2,v England,The Oval,19-Jul-12
47,134,107,9,0,43.92,5,bowled,1,v England,Leeds,2-Aug-12
44,59,45,5,0,97.77,4,lbw,3,v England,Leeds,2-Aug-12
27,85,47,6,0,57.44,5,caught,1,v England,Lord's,16-Aug-12
43,135,100,4,0,43,6,caught,3,v England,Lord's,16-Aug-12
40,129,84,5,0,47.61,5,caught,1,v Australia,Brisbane,9-Nov-12
29*,135,114,4,0,25.43,5,not out,3,v Australia,Brisbane,9-Nov-12
1,20,15,0,0,6.66,5,lbw,2,v Australia,Adelaide,22-Nov-12
33,246,220,0,0,15,5,bowled,4,v Australia,Adelaide,22-Nov-12
4,15,12,1,0,33.33,5,caught,1,v Australia,Perth,30-Nov-12
169,225,184,21,3,91.84,5,caught,3,v Australia,Perth,30-Nov-12
67,191,129,8,0,51.93,5,bowled,2,v New Zealand,Cape Town,2-Jan-13
51,107,81,6,0,62.96,5,caught,1,v New Zealand,Port Elizabeth,11-Jan-13
31,124,84,3,0,36.9,5,caught,1,v Pakistan,Johannesburg,1-Feb-13
103*,158,117,11,0,88.03,5,not out,3,v Pakistan,Johannesburg,1-Feb-13
61,175,113,7,0,53.98,6,caught,2,v Pakistan,Cape Town,14-Feb-13
36,85,45,4,0,80,5,caught,4,v Pakistan,Cape Town,14-Feb-13
121,326,215,15,0,56.27,5,caught,1,v Pakistan,Centurion,22-Feb-13
19,92,76,2,0,25,5,run out,1,v Pakistan,Abu Dhabi,14-Oct-13
90,220,157,7,1,57.32,5,caught,3,v Pakistan,Abu Dhabi,14-Oct-13
164,374,274,17,1,59.85,6,caught,2,v Pakistan,Dubai (DSC),23-Oct-13
13,32,21,1,0,61.9,5,lbw,2,v India,Johannesburg,18-Dec-13
103,239,168,12,0,61.3,6,bowled,4,v India,Johannesburg,18-Dec-13
74,161,117,9,0,63.24,5,caught,2,v India,Durban,26-Dec-13
DNB,-,-,-,-,-,-,-,4,v India,Durban,26-Dec-13
91,241,148,10,2,61.48,5,caught,2,v Australia,Centurion,12-Feb-14
48,152,90,5,0,53.33,5,caught,4,v Australia,Centurion,12-Feb-14
116,322,232,14,1,50,5,caught,1,v Australia,Port Elizabeth,20-Feb-14
29,48,39,5,0,74.35,5,caught,3,v Australia,Port Elizabeth,20-Feb-14
14,69,37,2,0,37.83,5,caught,2,v Australia,Cape Town,1-Mar-14
43,326,228,6,0,18.85,5,caught,4,v Australia,Cape Town,1-Mar-14
21,66,48,4,0,43.75,5,bowled,1,v Sri Lanka,Galle,16-Jul-14
51,81,58,6,0,87.93,5,bowled,3,v Sri Lanka,Galle,16-Jul-14
37,127,99,5,0,37.37,5,lbw,2,v Sri Lanka,Colombo (SSC),24-Jul-14
12,82,67,1,0,17.91,5,bowled,4,v Sri Lanka,Colombo (SSC),24-Jul-14
7,48,34,0,0,20.58,5,caught,2,v Zimbabwe,Harare,9-Aug-14
DNB,-,-,-,-,-,-,-,4,v Zimbabwe,Harare,9-Aug-14
152,318,235,16,2,64.68,5,caught,1,v West Indies,Centurion,17-Aug-14
