Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
18,33,40,4,0,45,7,lbw,2,v England,Brisbane,30-Nov-28
1,5,5,0,0,20,6,caught,4,v England,Brisbane,30-Nov-28
79,194,220,9,0,35.9,6,bowled,1,v England,Melbourne,29-Dec-28
112,246,281,7,0,39.85,6,caught,3,v England,Melbourne,29-Dec-28
40,80,99,2,0,40.4,6,caught,2,v England,Adelaide,1-Feb-29
58,138,126,4,0,46.03,6,run out,4,v England,Adelaide,1-Feb-29
123,217,247,8,0,49.79,5,caught,2,v England,Melbourne,8-Mar-29
37*,72,89,3,0,41.57,7,not out,4,v England,Melbourne,8-Mar-29
8,18,22,0,0,36.36,4,bowled,2,v England,Nottingham,13-Jun-30
131,258,287,10,0,45.64,3,bowled,4,v England,Nottingham,13-Jun-30
254,341,376,25,0,67.55,3,caught,2,v England,Lord's,27-Jun-30
1,2,3,0,0,33.33,3,caught,4,v England,Lord's,27-Jun-30
334,383,448,46,0,74.55,3,caught,1,v England,Leeds,11-Jul-30
14,30,27,1,0,51.85,3,caught,1,v England,Manchester,25-Jul-30
232,438,417,16,0,55.63,3,caught,2,v England,The Oval,16-Aug-30
4,15,-,0,0,-,3,caught,2,v West Indies,Adelaide,12-Dec-30
DNB,-,-,-,-,-,-,-,4,v West Indies,Adelaide,12-Dec-30
25,40,-,3,0,-,3,caught,1,v West Indies,Sydney,1-Jan-31
223,297,-,24,0,-,3,caught,1,v West Indies,Brisbane,16-Jan-31
152,154,-,13,0,-,3,caught,2,v West Indies,Melbourne,13-Feb-31
43,51,-,3,0,-,3,caught,2,v West Indies,Sydney,27-Feb-31
0,11,-,0,0,-,3,bowled,4,v West Indies,Sydney,27-Feb-31
226,277,-,22,0,-,3,lbw,1,v South Africa,Brisbane,27-Nov-31
112,155,-,10,0,-,4,caught,2,v South Africa,Sydney,18-Dec-31
2,14,-,0,0,-,3,caught,1,v South Africa,Melbourne,31-Dec-31
167,183,-,18,0,-,3,lbw,3,v South Africa,Melbourne,31-Dec-31
299*,396,-,23,0,-,3,not out,2,v South Africa,Adelaide,29-Jan-32
DNB,-,-,-,-,-,-,-,4,v South Africa,Adelaide,29-Jan-32
absent,-,-,-,-,-,-,-,2,v South Africa,Melbourne,12-Feb-32
0,1,1,0,0,0,4,bowled,1,v England,Melbourne,30-Dec-32
103*,185,146,7,0,70.54,4,not out,3,v England,Melbourne,30-Dec-32
8,18,17,1,0,47.05,3,caught,2,v England,Adelaide,13-Jan-33
66,73,71,10,1,92.95,4,caught,4,v England,Adelaide,13-Jan-33
76,156,138,11,0,55.07,3,bowled,1,v England,Brisbane,10-Feb-33
24,32,31,3,0,77.41,3,caught,3,v England,Brisbane,10-Feb-33
48,71,56,7,0,85.71,3,bowled,1,v England,Sydney,23-Feb-33
71,97,69,9,0,102.89,3,bowled,3,v England,Sydney,23-Feb-33
29,29,32,6,0,90.62,4,caught,1,v England,Nottingham,8-Jun-34
25,47,39,-,0,64.1,4,caught,3,v England,Nottingham,8-Jun-34
36,46,37,7,0,97.29,3,caught,2,v England,Lord's,22-Jun-34
13,28,27,-,0,48.14,4,caught,3,v England,Lord's,22-Jun-34
30,66,52,3,0,57.69,6,caught,2,v England,Manchester,6-Jul-34
DNB,-,-,-,-,-,-,-,4,v England,Manchester,6-Jul-34
304,430,473,43,2,64.27,5,bowled,2,v England,Leeds,20-Jul-34
244,316,271,32,1,90.03,3,caught,1,v England,The Oval,18-Aug-34
77,116,106,6,1,72.64,3,bowled,3,v England,The Oval,18-Aug-34
38,71,57,5,0,66.66,3,caught,2,v England,Brisbane,4-Dec-36
0,1,2,0,0,0,5,caught,4,v England,Brisbane,4-Dec-36
0,1,1,0,0,0,3,caught,2,v England,Sydney,18-Dec-36
82,171,140,6,0,58.57,3,bowled,3,v England,Sydney,18-Dec-36
13,28,21,0,0,61.9,3,caught,1,v England,Melbourne,1-Jan-37
270,458,375,22,0,72,7,caught,3,v England,Melbourne,1-Jan-37
26,68,55,0,0,47.27,4,bowled,1,v England,Adelaide,29-Jan-37
212,437,395,14,0,53.67,3,caught,3,v England,Adelaide,29-Jan-37
169,223,191,15,0,88.48,3,bowled,1,v England,Melbourne,26-Feb-37
51,89,96,5,0,53.12,3,caught,2,v England,Nottingham,10-Jun-38
144*,365,379,5,0,37.99,3,not out,3,v England,Nottingham,10-Jun-38
18,26,26,2,0,69.23,3,bowled,2,v England,Lord's,24-Jun-38
102*,147,135,15,0,75.55,3,not out,4,v England,Lord's,24-Jun-38
103,178,184,9,0,55.97,4,bowled,2,v England,Leeds,22-Jul-38
16,35,31,1,0,51.61,3,caught,4,v England,Leeds,22-Jul-38
absent,-,-,-,-,-,-,-,2,v England,The Oval,20-Aug-38
absent,-,-,-,-,-,-,-,3,v England,The Oval,20-Aug-38
187,316,313,19,0,59.74,3,bowled,1,v England,Brisbane,29-Nov-46
234,397,396,24,0,59.09,6,lbw,2,v England,Sydney,13-Dec-46
79,169,162,2,0,48.76,3,bowled,1,v England,Melbourne,1-Jan-47
49,99,95,4,0,51.57,3,caught,3,v England,Melbourne,1-Jan-47
0,10,9,0,0,0,3,bowled,2,v England,Adelaide,31-Jan-47
56*,91,102,4,0,54.9,3,not out,4,v England,Adelaide,31-Jan-47
12,27,23,0,0,52.17,3,bowled,2,v England,Sydney,28-Feb-47
63,117,117,7,0,53.84,3,caught,4,v England,Sydney,28-Feb-47
185,288,336,20,0,55.05,3,hit wicket,1,v India,Brisbane,28-Nov-47
13,40,38,1,0,34.21,3,bowled,2,v India,Sydney,12-Dec-47
132,199,204,8,0,64.7,3,lbw,1,v India,Melbourne,1-Jan-48
127*,178,169,13,0,75.14,6,not out,3,v India,Melbourne,1-Jan-48
201,272,296,21,1,67.9,3,bowled,1,v India,Adelaide,23-Jan-48
57*,83,97,4,0,58.76,3,retired notout,1,v India,Melbourne,6-Feb-48
138,290,321,10,0,42.99,3,caught,2,v England,Nottingham,10-Jun-48
0,12,10,0,0,0,3,caught,4,v England,Nottingham,10-Jun-48
38,115,104,-,0,36.53,3,caught,1,v England,Lord's,24-Jun-48
89,185,162,13,0,54.93,3,caught,3,v England,Lord's,24-Jun-48
7,9,7,1,0,100,3,lbw,2,v England,Manchester,8-Jul-48
30*,122,146,6,0,20.54,3,not out,4,v England,Manchester,8-Jul-48
33,59,56,-,0,58.92,3,bowled,2,v England,Leeds,22-Jul-48
173*,255,292,29,0,59.24,3,not out,4,v England,Leeds,22-Jul-48
0,1,2,0,0,0,3,bowled,2,v England,The Oval,14-Aug-48
