Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
68,125,82,10,1,82.92,3,bowled,2,,v England,Perth,29-Nov-02
21,40,32,3,0,65.62,3,bowled,1,,v England,Melbourne,26-Dec-02
30,41,35,3,1,85.71,3,caught,4,,v England,Melbourne,26-Dec-02
7,8,6,1,0,116.66,3,caught,2,,v England,Sydney,2-Jan-03
11,17,16,2,0,68.75,4,lbw,4,,v England,Sydney,2-Jan-03
117,292,195,18,0,60,3,caught,2,,v West Indies,Georgetown,10-Apr-03
42*,68,66,4,1,63.63,3,not out,4,,v West Indies,Georgetown,10-Apr-03
206,491,362,24,1,56.9,3,stumped,1,,v West Indies,Port of Spain,19-Apr-03
45,144,104,4,0,43.26,3,caught,3,,v West Indies,Port of Spain,19-Apr-03
113,300,204,8,1,55.39,3,run out,1,,v West Indies,Bridgetown,1-May-03
DNB,-,-,-,-,-,-,-,4,,v West Indies,Bridgetown,1-May-03
10,45,28,1,0,35.71,3,caught,2,,v Bangladesh,Darwin,18-Jul-03
59,120,79,10,1,74.68,3,caught,2,,v Bangladesh,Cairns,25-Jul-03
37,91,65,6,0,56.92,3,lbw,1,,v Zimbabwe,Perth,9-Oct-03
169,314,249,23,2,67.87,3,bowled,2,,v Zimbabwe,Sydney,17-Oct-03
53*,115,71,8,0,74.64,3,not out,4,,v Zimbabwe,Sydney,17-Oct-03
54,125,88,7,1,61.36,3,caught,1,,v India,Brisbane,4-Dec-03
50,111,75,5,0,66.66,3,caught,3,,v India,Brisbane,4-Dec-03
242,508,352,31,0,68.75,3,caught,1,,v India,Adelaide,12-Dec-03
0,19,17,0,0,0,3,caught,3,,v India,Adelaide,12-Dec-03
257,590,458,25,0,56.11,3,stumped,2,,v India,Melbourne,26-Dec-03
31*,73,59,3,0,52.54,3,not out,4,,v India,Melbourne,26-Dec-03
25,68,48,2,0,52.08,3,lbw,2,,v India,Sydney,2-Jan-04
47,146,104,7,0,45.19,3,caught,4,,v India,Sydney,2-Jan-04
21,40,39,4,0,53.84,3,stumped,1,,v Sri Lanka,Galle,8-Mar-04
28,110,78,2,0,35.89,3,run out,3,,v Sri Lanka,Galle,8-Mar-04
10,17,11,2,0,90.9,3,lbw,1,,v Sri Lanka,Kandy,16-Mar-04
27,74,49,2,1,55.1,6,caught,3,,v Sri Lanka,Kandy,16-Mar-04
