Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
44,149,89,4,0,49.43,4,caught,1,v Pakistan,Lahore,6-Dec-90
5,24,17,1,0,29.41,4,caught,3,v Pakistan,Lahore,6-Dec-90
17,46,33,3,0,51.51,3,caught,1,v South Africa,Bridgetown,18-Apr-92
64,150,102,11,0,62.74,3,caught,3,v South Africa,Bridgetown,18-Apr-92
58,161,127,6,0,45.66,4,stumped,2,v Australia,Brisbane,27-Nov-92
0,13,12,0,0,0,4,caught,4,v Australia,Brisbane,27-Nov-92
52,179,121,4,0,42.97,4,lbw,2,v Australia,Melbourne,26-Dec-92
4,14,10,0,0,40,4,caught,4,v Australia,Melbourne,26-Dec-92
277,474,372,38,0,74.46,4,run out,2,v Australia,Sydney,2-Jan-93
52,100,76,6,0,68.42,4,caught,1,v Australia,Adelaide,23-Jan-93
7,12,11,1,0,63.63,4,caught,3,v Australia,Adelaide,23-Jan-93
16,27,21,2,0,76.19,4,caught,2,v Australia,Perth,30-Jan-93
6,22,18,0,0,33.33,4,caught,1,v Pakistan,Port of Spain,16-Apr-93
96,169,135,11,1,71.11,4,bowled,3,v Pakistan,Port of Spain,16-Apr-93
51,82,62,8,1,82.25,4,caught,1,v Pakistan,Bridgetown,23-Apr-93
DNB,-,-,-,-,-,-,-,4,v Pakistan,Bridgetown,23-Apr-93
44,78,66,6,0,66.66,4,stumped,1,v Pakistan,St John's,1-May-93
19,40,26,2,0,73.07,4,lbw,3,v Pakistan,St John's,1-May-93
18,55,53,2,0,33.96,4,caught,2,v Sri Lanka,Moratuwa,8-Dec-93
83,186,131,11,0,63.35,4,bowled,2,v England,Kingston,19-Feb-94
28,44,35,3,1,80,3,bowled,4,v England,Kingston,19-Feb-94
167,256,210,25,2,79.52,3,caught,2,v England,Georgetown,17-Mar-94
43,141,104,5,0,41.34,3,lbw,1,v England,Port of Spain,25-Mar-94
12,35,18,3,0,66.66,3,caught,3,v England,Port of Spain,25-Mar-94
26,60,45,5,0,57.77,3,caught,2,v England,Bridgetown,8-Apr-94
64,118,89,12,0,71.91,3,caught,4,v England,Bridgetown,8-Apr-94
375,766,538,45,0,69.7,3,caught,1,v England,St John's,16-Apr-94
DNB,-,-,-,-,-,-,-,3,v England,St John's,16-Apr-94
14,108,74,0,0,18.91,3,bowled,2,v India,Mumbai,18-Nov-94
0,3,4,0,0,0,3,bowled,4,v India,Mumbai,18-Nov-94
50,129,135,7,0,37.03,4,caught,2,v India,Nagpur,1-Dec-94
3,20,17,0,0,17.64,3,caught,4,v India,Nagpur,1-Dec-94
40,77,67,4,0,59.7,3,lbw,1,v India,Mohali,10-Dec-94
91,158,104,6,0,87.5,2,caught,3,v India,Mohali,10-Dec-94
2,18,12,0,0,16.66,3,bowled,2,v New Zealand,Christchurch,3-Feb-95
147,247,181,24,0,81.21,3,lbw,1,v New Zealand,Wellington,10-Feb-95
65,168,112,11,0,58.03,3,caught,1,v Australia,Bridgetown,31-Mar-95
9,32,34,1,0,26.47,3,caught,3,v Australia,Bridgetown,31-Mar-95
88,154,102,16,0,86.27,3,caught,2,v Australia,St John's,8-Apr-95
43,80,77,5,0,55.84,3,bowled,4,v Australia,St John's,8-Apr-95
24,74,54,2,0,44.44,3,caught,2,v Australia,Port of Spain,21-Apr-95
14*,11,12,3,0,116.66,3,not out,4,v Australia,Port of Spain,21-Apr-95
65,104,78,9,0,83.33,3,caught,1,v Australia,Kingston,29-Apr-95
0,8,6,0,0,0,3,lbw,3,v Australia,Kingston,29-Apr-95
53,71,55,10,0,96.36,3,caught,2,v England,Leeds,8-Jun-95
48*,69,40,8,0,120,3,not out,4,v England,Leeds,8-Jun-95
6,47,31,1,0,19.35,3,lbw,2,v England,Lord's,22-Jun-95
54,87,62,10,0,87.09,3,caught,4,v England,Lord's,22-Jun-95
21,52,42,4,0,50,3,lbw,2,v England,Birmingham,6-Jul-95
87,153,118,16,0,73.72,3,lbw,1,v England,Manchester,27-Jul-95
145,281,226,16,0,64.15,3,caught,3,v England,Manchester,27-Jul-95
152,255,182,28,0,83.51,3,caught,2,v England,Nottingham,10-Aug-95
20,33,30,2,0,66.66,1,caught,4,v England,Nottingham,10-Aug-95
179,267,206,26,1,86.89,4,caught,2,v England,The Oval,24-Aug-95
35,81,54,4,0,64.81,3,caught,2,v New Zealand,Bridgetown,19-Apr-96
DNB,-,-,-,-,-,-,-,4,v New Zealand,Bridgetown,19-Apr-96
40,58,57,4,2,70.17,3,caught,1,v New Zealand,St John's,27-Apr-96
74,164,119,9,0,62.18,3,caught,3,v New Zealand,St John's,27-Apr-96
26,95,69,3,0,37.68,3,caught,2,v Australia,Brisbane,22-Nov-96
44,95,75,7,0,58.66,3,caught,4,v Australia,Brisbane,22-Nov-96
2,20,13,0,0,15.38,3,caught,2,v Australia,Sydney,29-Nov-96
1,14,10,0,0,10,3,caught,4,v Australia,Sydney,29-Nov-96
2,26,18,0,0,11.11,4,caught,2,v Australia,Melbourne,26-Dec-96
2,17,9,0,0,22.22,4,caught,4,v Australia,Melbourne,26-Dec-96
9,40,33,2,0,27.27,4,caught,1,v Australia,Adelaide,25-Jan-97
78,167,144,12,2,54.16,4,caught,3,v Australia,Adelaide,25-Jan-97
132,223,183,22,1,72.13,4,caught,2,v Australia,Perth,1-Feb-97
DNB,-,-,-,-,-,-,-,4,v Australia,Perth,1-Feb-97
83,187,141,10,0,58.86,4,caught,1,v India,Kingston,6-Mar-97
78,93,83,8,1,93.97,4,caught,3,v India,Kingston,6-Mar-97
14,65,51,1,0,27.45,4,caught,1,v India,Port of Spain,14-Mar-97
19,68,57,1,0,33.33,4,caught,3,v India,Port of Spain,14-Mar-97
19,86,57,3,0,33.33,4,caught,1,v India,Bridgetown,27-Mar-97
45,104,67,6,0,67.16,4,caught,3,v India,Bridgetown,27-Mar-97
103,217,178,11,1,57.86,4,caught,1,v India,St John's,4-Apr-97
30,31,16,6,1,187.5,3,caught,2,v India,Georgetown,17-Apr-97
0,9,6,0,0,0,4,caught,2,v Sri Lanka,St John's,13-Jun-97
4,2,2,1,0,200,4,caught,4,v Sri Lanka,St John's,13-Jun-97
1,13,5,0,0,20,4,caught,1,v Sri Lanka,Kingstown,20-Jun-97
115,266,207,11,1,55.55,3,caught,3,v Sri Lanka,Kingstown,20-Jun-97
3,13,13,0,0,23.07,4,caught,1,v Pakistan,Peshawar,17-Nov-97
37,52,48,8,0,77.08,4,lbw,3,v Pakistan,Peshawar,17-Nov-97
15,18,9,2,0,166.66,4,bowled,1,v Pakistan,Rawalpindi,29-Nov-97
1,27,16,0,0,6.25,4,caught,3,v Pakistan,Rawalpindi,29-Nov-97
36,93,73,6,0,49.31,3,bowled,1,v Pakistan,Karachi,6-Dec-97
37,111,72,5,1,51.38,3,caught,3,v Pakistan,Karachi,6-Dec-97
TDNB,-,-,-,-,-,-,-,-,v England,Kingston,29-Jan-98
55,166,100,7,0,55,3,caught,2,v England,Port of Spain,5-Feb-98
17,72,53,3,0,32.07,3,caught,4,v England,Port of Spain,5-Feb-98
42,89,53,7,0,79.24,3,caught,1,v England,Port of Spain,13-Feb-98
47,132,95,7,0,49.47,3,lbw,3,v England,Port of Spain,13-Feb-98
93,256,201,13,2,46.26,3,caught,1,v England,Georgetown,27-Feb-98
30,106,61,3,0,49.18,3,caught,3,v England,Georgetown,27-Feb-98
